Year,Actual,Predicted,Error %,Company
2022,23182.6,21282.565384615446,-8.19595134016268,MCD
2022,198270.0,151984.5,-23.344681494931155,MSFT
2023,211915.0,159873.71428571455,-24.557622496890474,MSFT
2022,26914.0,13465.1031153847,-49.96989256377834,NVDA
2023,26974.0,14418.055186813232,-46.54832361973296,NVDA
